adresse_station,arrondissement,statut_pdc,code_insee_commune,coordonneesxy,lat,long,id_pdc,last_date_time_update
1-3 Av. du Général Sarrail 75016 Paris,16e Arrondissement,Disponible,16116,"[48.846973, 2.2558389]",48.846973,2.2558389,FR*V75*EHBSAE*PDA*04*2,2022-11-17 03:30:03+00:00
1-3 Av. du Général Sarrail 75016 Paris,16e Arrondissement,Disponible,16116,"[48.846973, 2.2558389]",48.846973,2.2558389,FR*V75*EHBSAE*PDA*05*3,2022-11-17 04:33:57+00:00
1-3 Av. du Général Sarrail 75016 Paris,16e Arrondissement,Disponible,16116,"[48.846973, 2.2558389]",48.846973,2.2558389,FR*V75*EHBSAE*PDA*04*3,2022-11-17 03:30:03+00:00
1-3 Av. du Général Sarrail 75016 Paris,16e Arrondissement,Disponible,16116,"[48.846973, 2.2558389]",48.846973,2.2558389,FR*V75*EHBSAE*PDA*04*1,2022-11-17 03:30:03+00:00
1-3 Av. du Général Sarrail 75016 Paris,16e Arrondissement,Disponible,16116,"[48.846973, 2.2558389]",48.846973,2.2558389,FR*V75*EHBSAE*PDA*03*3,2022-11-17 03:30:03+00:00
1-3 Av. du Général Sarrail 75016 Paris,16e Arrondissement,Disponible,16116,"[48.846973, 2.2558389]",48.846973,2.2558389,FR*V75*EHBSAE*PDA*01*3,2022-11-17 03:30:03+00:00
1-3 Av. du Général Sarrail 75016 Paris,16e Arrondissement,Disponible,16116,"[48.846973, 2.2558389]",48.846973,2.2558389,FR*V75*EHBSAE*PDA*02*3,2022-11-17 10:12:21+00:00
1-3 Av. du Général Sarrail 75016 Paris,16e Arrondissement,Disponible,16116,"[48.846973, 2.2558389]",48.846973,2.2558389,FR*V75*EHBSAE*PDA*03*1,2022-11-17 03:30:03+00:00
1-3 Av. du Général Sarrail 75016 Paris,16e Arrondissement,Disponible,16116,"[48.846973, 2.2558389]",48.846973,2.2558389,FR*V75*EHBSAE*PDA*03*2,2022-11-17 03:30:03+00:00
1-3 Av. du Général Sarrail 75016 Paris,16e Arrondissement,Disponible,16116,"[48.846973, 2.2558389]",48.846973,2.2558389,FR*V75*EHBSAE*PDA*02*2,2022-11-17 10:12:21+00:00
1-3 Av. du Général Sarrail 75016 Paris,16e Arrondissement,Disponible,16116,"[48.846973, 2.2558389]",48.846973,2.2558389,FR*V75*EHBSAE*PDA*05*1,2022-11-17 04:33:57+00:00
1-3 Av. du Général Sarrail 75016 Paris,16e Arrondissement,Disponible,16116,"[48.846973, 2.2558389]",48.846973,2.2558389,FR*V75*EHBSAE*PDA*01*2,2022-11-17 03:30:03+00:00
1-3 Av. du Général Sarrail 75016 Paris,16e Arrondissement,Disponible,16116,"[48.846973, 2.2558389]",48.846973,2.2558389,FR*V75*EHBSAE*PDA*01*1,2022-11-17 03:30:03+00:00
1-3 Av. du Général Sarrail 75016 Paris,16e Arrondissement,Disponible,16116,"[48.846973, 2.2558389]",48.846973,2.2558389,FR*V75*EHBSAE*PDA*05*2,2022-11-17 04:33:57+00:00
1-3 Av. du Général Sarrail 75016 Paris,16e Arrondissement,Disponible,16116,"[48.846973, 2.2558389]",48.846973,2.2558389,FR*V75*EHBSAE*PDA*02*1,2022-11-17 10:12:21+00:00
62 Jean-Jacques Rousseau 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.86409, 2.3437343]",48.86409,2.3437343,FR*V75*EPX01*02*4,2022-11-17 08:00:36+00:00
4 Quai du Marché Neuf 75001 Paris,Paris centre,Disponible,75101,"[48.854057, 2.34556]",48.854057,2.34556,FR*V75*E9001*01*2,2022-11-17 03:30:03+00:00
62 Jean-Jacques Rousseau 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.86409, 2.3437343]",48.86409,2.3437343,FR*V75*EPX01*02*2,2022-11-17 10:15:42+00:00
3 Saint Roch 75001 Paris,Paris centre,Disponible,75101,"[48.864292, 2.3314855]",48.864292,2.3314855,FR*V75*EPX01*01*3,2022-11-17 03:30:03+00:00
12 Rue des Pyramides 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.86486, 2.3329713]",48.86486,2.3329713,FR*V75*EPX01*04*2,2022-11-17 10:50:11+00:00
17 Avenue Victoria 75001 Paris,Paris centre,Disponible,75101,"[48.85788, 2.34681]",48.85788,2.34681,FR*V75*EPX01*06*1,2022-11-17 03:30:03+00:00
14 Rue Bertin Poirée 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.85881, 2.3449502]",48.85881,2.3449502,FR*V75*EPX01*03*4,2022-11-17 10:59:55+00:00
17 Avenue Victoria 75001 Paris,Paris centre,Disponible,75101,"[48.85788, 2.34681]",48.85788,2.34681,FR*V75*EPX01*06*5,2022-11-17 03:50:05+00:00
1 Rue de L'Amiral De Coligny 75001 Paris,Paris centre,Disponible,75101,"[48.86003, 2.34046]",48.86003,2.34046,FR*V75*E9001*02*1,2022-11-17 10:07:26+00:00
4 Rue des Croix des Petits Champs 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.862465, 2.3393006]",48.862465,2.3393006,FR*V75*EPX01*05*3,2022-11-17 10:37:54+00:00
3 Saint Roch 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.864292, 2.3314855]",48.864292,2.3314855,FR*V75*EPX01*01*1,2022-11-17 11:43:56+00:00
62 Jean-Jacques Rousseau 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.86409, 2.3437343]",48.86409,2.3437343,FR*V75*EPX01*02*1,2022-11-17 11:16:20+00:00
12 Rue des Pyramides 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.86486, 2.3329713]",48.86486,2.3329713,FR*V75*EPX01*04*6,2022-11-17 11:13:46+00:00
3 Saint Roch 75001 Paris,Paris centre,Disponible,75101,"[48.864292, 2.3314855]",48.864292,2.3314855,FR*V75*EPX01*01*2,2022-11-17 05:31:03+00:00
4 Rue des Croix des Petits Champs 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.862465, 2.3393006]",48.862465,2.3393006,FR*V75*EPX01*05*2,2022-11-17 08:05:16+00:00
17 Avenue Victoria 75001 Paris,Paris centre,Disponible,75101,"[48.85788, 2.34681]",48.85788,2.34681,FR*V75*EPX01*06*4,2022-11-17 08:16:07+00:00
17 Avenue Victoria 75001 Paris,Paris centre,Disponible,75101,"[48.85788, 2.34681]",48.85788,2.34681,FR*V75*EPX01*06*3,2022-11-17 03:30:03+00:00
14 Rue Bertin Poirée 75001 Paris,Paris centre,Disponible,75101,"[48.85881, 2.3449502]",48.85881,2.3449502,FR*V75*EPX01*03*2,2022-11-17 03:30:03+00:00
12 Rue des Pyramides 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.86486, 2.3329713]",48.86486,2.3329713,FR*V75*EPX01*04*5,2022-11-17 09:29:07+00:00
14 Rue Bertin Poirée 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.85881, 2.3449502]",48.85881,2.3449502,FR*V75*EPX01*03*3,2022-11-17 10:44:26+00:00
12 Rue des Pyramides 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.86486, 2.3329713]",48.86486,2.3329713,FR*V75*EPX01*04*4,2022-11-17 10:07:36+00:00
3 Saint Roch 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.864292, 2.3314855]",48.864292,2.3314855,FR*V75*EPX01*01*4,2022-11-17 11:40:01+00:00
14 Rue Bertin Poirée 75001 Paris,Paris centre,Disponible,75101,"[48.85881, 2.3449502]",48.85881,2.3449502,FR*V75*EPX01*03*1,2022-11-17 03:30:03+00:00
1 Rue de L'Amiral De Coligny 75001 Paris,Paris centre,Disponible,75101,"[48.86003, 2.34046]",48.86003,2.34046,FR*V75*E9001*02*3,2022-11-17 09:06:51+00:00
12 Rue des Pyramides 75001 Paris,Paris centre,Disponible,75101,"[48.86486, 2.3329713]",48.86486,2.3329713,FR*V75*EPX01*04*1,2022-11-17 09:15:21+00:00
12 Rue des Pyramides 75001 Paris,Paris centre,Disponible,75101,"[48.86486, 2.3329713]",48.86486,2.3329713,FR*V75*EPX01*04*3,2022-11-17 10:47:21+00:00
1 Rue de L'Amiral De Coligny 75001 Paris,Paris centre,Disponible,75101,"[48.86003, 2.34046]",48.86003,2.34046,FR*V75*E9001*02*2,2022-11-17 03:30:03+00:00
17 Avenue Victoria 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.85788, 2.34681]",48.85788,2.34681,FR*V75*EPX01*06*2,2022-11-17 11:49:15+00:00
4 Rue des Croix des Petits Champs 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.862465, 2.3393006]",48.862465,2.3393006,FR*V75*EPX01*05*1,2022-11-17 07:51:04+00:00
14 Rue Bertin Poirée 75001 Paris,Paris centre,Disponible,75101,"[48.85881, 2.3449502]",48.85881,2.3449502,FR*V75*EPX01*03*6,2022-11-17 03:30:03+00:00
4 Quai du Marché Neuf 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.854057, 2.34556]",48.854057,2.34556,FR*V75*E9001*01*1,2022-11-17 10:35:56+00:00
62 Jean-Jacques Rousseau 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.86409, 2.3437343]",48.86409,2.3437343,FR*V75*EPX01*02*3,2022-11-17 11:43:56+00:00
4 Quai du Marché Neuf 75001 Paris,Paris centre,Disponible,75101,"[48.854057, 2.34556]",48.854057,2.34556,FR*V75*E9001*01*3,2022-11-17 03:30:03+00:00
14 Rue Bertin Poirée 75001 Paris,Paris centre,Disponible,75101,"[48.85881, 2.3449502]",48.85881,2.3449502,FR*V75*EPX01*03*5,2022-11-17 03:30:03+00:00
4 Rue des Croix des Petits Champs 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.862465, 2.3393006]",48.862465,2.3393006,FR*V75*EPX01*05*4,2022-11-17 07:39:50+00:00
52 Rue Étienne Marcel 75002 Paris,Paris centre,Disponible,75102,"[48.865788, 2.342244]",48.865788,2.342244,FR*V75*E9002*03*3,2022-11-17 03:30:03+00:00
24 Rue de la Paix 75002 Paris,Paris centre,Occupé (en charge),75102,"[48.869926, 2.3320835]",48.869926,2.3320835,FR*V75*EPX02*06*2,2022-11-17 06:39:12+00:00
7 Rue d'Alexandrie 75002 Paris,Paris centre,Disponible,75102,"[48.868008, 2.3508835]",48.868008,2.3508835,FR*V75*EPX02*02*2,2022-11-17 11:56:44+00:00
44 Rue Étienne Marcel 75002 Paris,Paris centre,Disponible,75102,"[48.86531, 2.343436]",48.86531,2.343436,FR*V75*E9002*02*1,2022-11-17 03:30:03+00:00
19 Rue Dalayrac 75002 Paris,Paris centre,Occupé (en charge),75102,"[48.86818, 2.335097]",48.86818,2.335097,FR*V75*EPX02*08*4,2022-11-17 08:53:01+00:00
19 Rue Dalayrac 75002 Paris,Paris centre,Occupé (en charge),75102,"[48.86818, 2.335097]",48.86818,2.335097,FR*V75*EPX02*08*2,2022-11-17 10:33:07+00:00
116 Rue Réaumur 75002 Paris,Paris centre,Disponible,75102,"[48.86781, 2.34525]",48.86781,2.34525,FR*V75*EPX02*09*4,2022-11-17 09:39:28+00:00
44 Rue Étienne Marcel 75002 Paris,Paris centre,Disponible,75102,"[48.86531, 2.343436]",48.86531,2.343436,FR*V75*E9002*02*2,2022-11-17 03:30:03+00:00
1 Rue d'Uzès 75002 Paris,Paris centre,Disponible,75102,"[48.870422, 2.3454537]",48.870422,2.3454537,FR*V75*EPX02*07*5,2022-11-17 03:30:03+00:00
19 Rue Dalayrac 75002 Paris,Paris centre,Occupé (en charge),75102,"[48.86818, 2.335097]",48.86818,2.335097,FR*V75*EPX02*08*1,2022-11-17 11:12:49+00:00
19 Rue Dalayrac 75002 Paris,Paris centre,Occupé (en charge),75102,"[48.86818, 2.335097]",48.86818,2.335097,FR*V75*EPX02*08*5,2022-11-17 11:43:02+00:00
7 Boulevard des Capucines 75002 Paris,Paris centre,Occupé (en charge),75102,"[48.87063, 2.33321]",48.87063,2.33321,FR*V75*E9002*01*2,2022-11-17 08:22:21+00:00
36 Rue Etienne Marcel 75002 Paris,Paris centre,Occupé (en charge),75102,"[48.86502, 2.344388]",48.86502,2.344388,FR*V75*EPX02*05*4,2022-11-17 10:15:14+00:00
36 Rue Etienne Marcel 75002 Paris,Paris centre,Occupé (en charge),75102,"[48.86502, 2.344388]",48.86502,2.344388,FR*V75*EPX02*05*3,2022-11-17 07:08:02+00:00
36 Rue Etienne Marcel 75002 Paris,Paris centre,Disponible,75102,"[48.86502, 2.344388]",48.86502,2.344388,FR*V75*EPX02*05*2,2022-11-17 09:59:00+00:00
24 Rue de la Paix 75002 Paris,Paris centre,Occupé (en charge),75102,"[48.869926, 2.3320835]",48.869926,2.3320835,FR*V75*EPX02*06*1,2022-11-17 08:37:29+00:00
1 Rue d'Uzès 75002 Paris,Paris centre,Occupé (en charge),75102,"[48.870422, 2.3454537]",48.870422,2.3454537,FR*V75*EPX02*07*4,2022-11-17 09:14:05+00:00
1 Rue d'Uzès 75002 Paris,Paris centre,Occupé (en charge),75102,"[48.870422, 2.3454537]",48.870422,2.3454537,FR*V75*EPX02*07*2,2022-11-17 07:41:57+00:00
7 Rue d'Alexandrie 75002 Paris,Paris centre,Occupé (en charge),75102,"[48.868008, 2.3508835]",48.868008,2.3508835,FR*V75*EPX02*02*1,2022-11-17 10:38:34+00:00
